ID Number,Name,Method,Result,Method,Result,Method,Result,Method,Result,Method,Result,Method,Result,Method,Result
0,~,None,~,None,~,None,~,None,~,None,~,None,~,None,~
1,Bulbasaur,Level Up,Ivysaur,None,~,None,~,None,~,None,~,None,~,None,~
2,Ivysaur,Level Up,Venusaur,None,~,None,~,None,~,None,~,None,~,None,~
3,Venusaur,None,~,None,~,None,~,None,~,None,~,None,~,None,~
4,Charmander,Level Up,Charmeleon,None,~,None,~,None,~,None,~,None,~,None,~
5,Charmeleon,Level Up,Charizard,None,~,None,~,None,~,None,~,None,~,None,~
6,Charizard,None,~,None,~,None,~,None,~,None,~,None,~,None,~
7,Squirtle,Level Up,Wartortle,None,~,None,~,None,~,None,~,None,~,None,~
8,Wartortle,Level Up,Blastoise,None,~,None,~,None,~,None,~,None,~,None,~
9,Blastoise,None,~,None,~,None,~,None,~,None,~,None,~,None,~
10,Caterpie,Level Up,Metapod,None,~,None,~,None,~,None,~,None,~,None,~
11,Metapod,Level Up,Butterfree,None,~,None,~,None,~,None,~,None,~,None,~
12,Butterfree,None,~,None,~,None,~,None,~,None,~,None,~,None,~
13,Weedle,Level Up,Kakuna,None,~,None,~,None,~,None,~,None,~,None,~
14,Kakuna,Level Up,Beedrill,None,~,None,~,None,~,None,~,None,~,None,~
15,Beedrill,None,~,None,~,None,~,None,~,None,~,None,~,None,~
16,Pidgey,Level Up,Pidgeotto,None,~,None,~,None,~,None,~,None,~,None,~
17,Pidgeotto,Level Up,Pidgeot,None,~,None,~,None,~,None,~,None,~,None,~
18,Pidgeot,None,~,None,~,None,~,None,~,None,~,None,~,None,~
19,Rattata,Level Up,Raticate,None,~,None,~,None,~,None,~,None,~,None,~
20,Raticate,None,~,None,~,None,~,None,~,None,~,None,~,None,~
21,Spearow,Level Up,Fearow,None,~,None,~,None,~,None,~,None,~,None,~
22,Fearow,None,~,None,~,None,~,None,~,None,~,None,~,None,~
23,Ekans,Level Up,Arbok,None,~,None,~,None,~,None,~,None,~,None,~
24,Arbok,None,~,None,~,None,~,None,~,None,~,None,~,None,~
25,Pikachu,Use Item,Raichu,None,~,None,~,None,~,None,~,None,~,None,~
26,Raichu,None,~,None,~,None,~,None,~,None,~,None,~,None,~
27,Sandshrew,Level Up,Sandslash,None,~,None,~,None,~,None,~,None,~,None,~
28,Sandslash,None,~,None,~,None,~,None,~,None,~,None,~,None,~
29,Nidoran♀,Level Up,Nidorina,None,~,None,~,None,~,None,~,None,~,None,~
30,Nidorina,Use Item,Nidoqueen,None,~,None,~,None,~,None,~,None,~,None,~
31,Nidoqueen,None,~,None,~,None,~,None,~,None,~,None,~,None,~
32,Nidoran♂,Level Up,Nidorino,None,~,None,~,None,~,None,~,None,~,None,~
33,Nidorino,Use Item,Nidoking,None,~,None,~,None,~,None,~,None,~,None,~
34,Nidoking,None,~,None,~,None,~,None,~,None,~,None,~,None,~
35,Clefairy,Use Item,Clefable,None,~,None,~,None,~,None,~,None,~,None,~
36,Clefable,None,~,None,~,None,~,None,~,None,~,None,~,None,~
37,Vulpix,Use Item,Ninetales,None,~,None,~,None,~,None,~,None,~,None,~
38,Ninetales,None,~,None,~,None,~,None,~,None,~,None,~,None,~
39,Jigglypuff,Use Item,Wigglytuff,None,~,None,~,None,~,None,~,None,~,None,~
40,Wigglytuff,None,~,None,~,None,~,None,~,None,~,None,~,None,~
41,Zubat,Level Up,Golbat,None,~,None,~,None,~,None,~,None,~,None,~
42,Golbat,Happiness,Crobat,None,~,None,~,None,~,None,~,None,~,None,~
43,Oddish,Level Up,Gloom,None,~,None,~,None,~,None,~,None,~,None,~
44,Gloom,Use Item,Vileplume,Use Item,Bellossom,None,~,None,~,None,~,None,~,None,~
45,Vileplume,None,~,None,~,None,~,None,~,None,~,None,~,None,~
46,Paras,Level Up,Parasect,None,~,None,~,None,~,None,~,None,~,None,~
47,Parasect,None,~,None,~,None,~,None,~,None,~,None,~,None,~
48,Venonat,Level Up,Venomoth,None,~,None,~,None,~,None,~,None,~,None,~
49,Venomoth,None,~,None,~,None,~,None,~,None,~,None,~,None,~
50,Diglett,Level Up,Dugtrio,None,~,None,~,None,~,None,~,None,~,None,~
51,Dugtrio,None,~,None,~,None,~,None,~,None,~,None,~,None,~
52,Meowth,Level Up,Persian,None,~,None,~,None,~,None,~,None,~,None,~
53,Persian,None,~,None,~,None,~,None,~,None,~,None,~,None,~
54,Psyduck,Level Up,Golduck,None,~,None,~,None,~,None,~,None,~,None,~
55,Golduck,None,~,None,~,None,~,None,~,None,~,None,~,None,~
56,Mankey,Level Up,Primeape,None,~,None,~,None,~,None,~,None,~,None,~
57,Primeape,None,~,None,~,None,~,None,~,None,~,None,~,None,~
58,Growlithe,Use Item,Arcanine,None,~,None,~,None,~,None,~,None,~,None,~
59,Arcanine,None,~,None,~,None,~,None,~,None,~,None,~,None,~
60,Poliwag,Level Up,Poliwhirl,None,~,None,~,None,~,None,~,None,~,None,~
61,Poliwhirl,Use Item,Poliwrath,Trade (Item),Politoed,None,~,None,~,None,~,None,~,None,~
62,Poliwrath,None,~,None,~,None,~,None,~,None,~,None,~,None,~
63,Abra,Level Up,Kadabra,None,~,None,~,None,~,None,~,None,~,None,~
64,Kadabra,Trade,Alakazam,None,~,None,~,None,~,None,~,None,~,None,~
65,Alakazam,None,~,None,~,None,~,None,~,None,~,None,~,None,~
66,Machop,Level Up,Machoke,None,~,None,~,None,~,None,~,None,~,None,~
67,Machoke,Trade,Machamp,None,~,None,~,None,~,None,~,None,~,None,~
68,Machamp,None,~,None,~,None,~,None,~,None,~,None,~,None,~
69,Bellsprout,Level Up,Weepinbell,None,~,None,~,None,~,None,~,None,~,None,~
70,Weepinbell,Use Item,Victreebel,None,~,None,~,None,~,None,~,None,~,None,~
71,Victreebel,None,~,None,~,None,~,None,~,None,~,None,~,None,~
72,Tentacool,Level Up,Tentacruel,None,~,None,~,None,~,None,~,None,~,None,~
73,Tentacruel,None,~,None,~,None,~,None,~,None,~,None,~,None,~
74,Geodude,Level Up,Graveler,None,~,None,~,None,~,None,~,None,~,None,~
75,Graveler,Trade,Golem,None,~,None,~,None,~,None,~,None,~,None,~
76,Golem,None,~,None,~,None,~,None,~,None,~,None,~,None,~
77,Ponyta,Level Up,Rapidash,None,~,None,~,None,~,None,~,None,~,None,~
78,Rapidash,None,~,None,~,None,~,None,~,None,~,None,~,None,~
79,Slowpoke,Level Up,Slowbro,Trade (Item),Slowking,None,~,None,~,None,~,None,~,None,~
80,Slowbro,None,~,None,~,None,~,None,~,None,~,None,~,None,~
81,Magnemite,Level Up,Magneton,None,~,None,~,None,~,None,~,None,~,None,~
82,Magneton,Level (Mt. Coronet),Magnezone,None,~,None,~,None,~,None,~,None,~,None,~
83,Farfetch'd,None,~,None,~,None,~,None,~,None,~,None,~,None,~
84,Doduo,Level Up,Dodrio,None,~,None,~,None,~,None,~,None,~,None,~
85,Dodrio,None,~,None,~,None,~,None,~,None,~,None,~,None,~
86,Seel,Level Up,Dewgong,None,~,None,~,None,~,None,~,None,~,None,~
87,Dewgong,None,~,None,~,None,~,None,~,None,~,None,~,None,~
88,Grimer,Level Up,Muk,None,~,None,~,None,~,None,~,None,~,None,~
89,Muk,None,~,None,~,None,~,None,~,None,~,None,~,None,~
90,Shellder,Use Item,Cloyster,None,~,None,~,None,~,None,~,None,~,None,~
91,Cloyster,None,~,None,~,None,~,None,~,None,~,None,~,None,~
92,Gastly,Level Up,Haunter,None,~,None,~,None,~,None,~,None,~,None,~
93,Haunter,Trade,Gengar,None,~,None,~,None,~,None,~,None,~,None,~
94,Gengar,None,~,None,~,None,~,None,~,None,~,None,~,None,~
95,Onix,Trade (Item),Steelix,None,~,None,~,None,~,None,~,None,~,None,~
96,Drowzee,Level Up,Hypno,None,~,None,~,None,~,None,~,None,~,None,~
97,Hypno,None,~,None,~,None,~,None,~,None,~,None,~,None,~
98,Krabby,Level Up,Kingler,None,~,None,~,None,~,None,~,None,~,None,~
99,Kingler,None,~,None,~,None,~,None,~,None,~,None,~,None,~
100,Voltorb,Level Up,Electrode,None,~,None,~,None,~,None,~,None,~,None,~
101,Electrode,None,~,None,~,None,~,None,~,None,~,None,~,None,~
102,Exeggcute,Use Item,Exeggutor,None,~,None,~,None,~,None,~,None,~,None,~
103,Exeggutor,None,~,None,~,None,~,None,~,None,~,None,~,None,~
104,Cubone,Level Up,Marowak,None,~,None,~,None,~,None,~,None,~,None,~
105,Marowak,None,~,None,~,None,~,None,~,None,~,None,~,None,~
106,Hitmonlee,None,~,None,~,None,~,None,~,None,~,None,~,None,~
107,Hitmonchan,None,~,None,~,None,~,None,~,None,~,None,~,None,~
108,Lickitung,Attack Known,Lickilicky,None,~,None,~,None,~,None,~,None,~,None,~
109,Koffing,Level Up,Weezing,None,~,None,~,None,~,None,~,None,~,None,~
110,Weezing,None,~,None,~,None,~,None,~,None,~,None,~,None,~
111,Rhyhorn,Level Up,Rhydon,None,~,None,~,None,~,None,~,None,~,None,~
112,Rhydon,Trade (Item),Rhyperior,None,~,None,~,None,~,None,~,None,~,None,~
113,Chansey,Happiness,Blissey,None,~,None,~,None,~,None,~,None,~,None,~
114,Tangela,Attack Known,Tangrowth,None,~,None,~,None,~,None,~,None,~,None,~
115,Kangaskhan,None,~,None,~,None,~,None,~,None,~,None,~,None,~
116,Horsea,Level Up,Seadra,None,~,None,~,None,~,None,~,None,~,None,~
117,Seadra,Trade (Item),Kingdra,None,~,None,~,None,~,None,~,None,~,None,~
118,Goldeen,Level Up,Seaking,None,~,None,~,None,~,None,~,None,~,None,~
119,Seaking,None,~,None,~,None,~,None,~,None,~,None,~,None,~
120,Staryu,Use Item,Starmie,None,~,None,~,None,~,None,~,None,~,None,~
121,Starmie,None,~,None,~,None,~,None,~,None,~,None,~,None,~
122,Mr. Mime,None,~,None,~,None,~,None,~,None,~,None,~,None,~
123,Scyther,Trade (Item),Scizor,None,~,None,~,None,~,None,~,None,~,None,~
124,Jynx,None,~,None,~,None,~,None,~,None,~,None,~,None,~
125,Electabuzz,Trade (Item),Electivire,None,~,None,~,None,~,None,~,None,~,None,~
126,Magmar,Trade (Item),Magmortar,None,~,None,~,None,~,None,~,None,~,None,~
127,Pinsir,None,~,None,~,None,~,None,~,None,~,None,~,None,~
128,Tauros,None,~,None,~,None,~,None,~,None,~,None,~,None,~
129,Magikarp,Level Up,Gyarados,None,~,None,~,None,~,None,~,None,~,None,~
130,Gyarados,None,~,None,~,None,~,None,~,None,~,None,~,None,~
131,Lapras,None,~,None,~,None,~,None,~,None,~,None,~,None,~
132,Ditto,None,~,None,~,None,~,None,~,None,~,None,~,None,~
133,Eevee,Level (Eterna Forest),Leafeon,Level (Route 217),Glaceon,Use Item,Jolteon,Use Item,Vaporeon,Use Item,Flareon,Happiness (Day),Espeon,Happiness (Night),Umbreon
134,Vaporeon,None,~,None,~,None,~,None,~,None,~,None,~,None,~
135,Jolteon,None,~,None,~,None,~,None,~,None,~,None,~,None,~
136,Flareon,None,~,None,~,None,~,None,~,None,~,None,~,None,~
137,Porygon,Trade (Item),Porygon2,None,~,None,~,None,~,None,~,None,~,None,~
138,Omanyte,Level Up,Omastar,None,~,None,~,None,~,None,~,None,~,None,~
139,Omastar,None,~,None,~,None,~,None,~,None,~,None,~,None,~
140,Kabuto,Level Up,Kabutops,None,~,None,~,None,~,None,~,None,~,None,~
141,Kabutops,None,~,None,~,None,~,None,~,None,~,None,~,None,~
142,Aerodactyl,None,~,None,~,None,~,None,~,None,~,None,~,None,~
143,Snorlax,None,~,None,~,None,~,None,~,None,~,None,~,None,~
144,Articuno,None,~,None,~,None,~,None,~,None,~,None,~,None,~
145,Zapdos,None,~,None,~,None,~,None,~,None,~,None,~,None,~
146,Moltres,None,~,None,~,None,~,None,~,None,~,None,~,None,~
147,Dratini,Level Up,Dragonair,None,~,None,~,None,~,None,~,None,~,None,~
148,Dragonair,Level Up,Dragonite,None,~,None,~,None,~,None,~,None,~,None,~
149,Dragonite,None,~,None,~,None,~,None,~,None,~,None,~,None,~
150,Mewtwo,None,~,None,~,None,~,None,~,None,~,None,~,None,~
151,Mew,None,~,None,~,None,~,None,~,None,~,None,~,None,~
152,Chikorita,Level Up,Bayleef,None,~,None,~,None,~,None,~,None,~,None,~
153,Bayleef,Level Up,Meganium,None,~,None,~,None,~,None,~,None,~,None,~
154,Meganium,None,~,None,~,None,~,None,~,None,~,None,~,None,~
155,Cyndaquil,Level Up,Quilava,None,~,None,~,None,~,None,~,None,~,None,~
156,Quilava,Level Up,Typhlosion,None,~,None,~,None,~,None,~,None,~,None,~
157,Typhlosion,None,~,None,~,None,~,None,~,None,~,None,~,None,~
158,Totodile,Level Up,Croconaw,None,~,None,~,None,~,None,~,None,~,None,~
159,Croconaw,Level Up,Feraligatr,None,~,None,~,None,~,None,~,None,~,None,~
160,Feraligatr,None,~,None,~,None,~,None,~,None,~,None,~,None,~
161,Sentret,Level Up,Furret,None,~,None,~,None,~,None,~,None,~,None,~
162,Furret,None,~,None,~,None,~,None,~,None,~,None,~,None,~
163,Hoothoot,Level Up,Noctowl,None,~,None,~,None,~,None,~,None,~,None,~
164,Noctowl,None,~,None,~,None,~,None,~,None,~,None,~,None,~
165,Ledyba,Level Up,Ledian,None,~,None,~,None,~,None,~,None,~,None,~
166,Ledian,None,~,None,~,None,~,None,~,None,~,None,~,None,~
167,Spinarak,Level Up,Ariados,None,~,None,~,None,~,None,~,None,~,None,~
168,Ariados,None,~,None,~,None,~,None,~,None,~,None,~,None,~
169,Crobat,None,~,None,~,None,~,None,~,None,~,None,~,None,~
170,Chinchou,Level Up,Lanturn,None,~,None,~,None,~,None,~,None,~,None,~
171,Lanturn,None,~,None,~,None,~,None,~,None,~,None,~,None,~
172,Pichu,Happiness,Pikachu,None,~,None,~,None,~,None,~,None,~,None,~
173,Cleffa,Happiness,Clefairy,None,~,None,~,None,~,None,~,None,~,None,~
174,Igglybuff,Happiness,Jigglypuff,None,~,None,~,None,~,None,~,None,~,None,~
175,Togepi,Happiness,Togetic,None,~,None,~,None,~,None,~,None,~,None,~
176,Togetic,Use Item,Togekiss,None,~,None,~,None,~,None,~,None,~,None,~
177,Natu,Level Up,Xatu,None,~,None,~,None,~,None,~,None,~,None,~
178,Xatu,None,~,None,~,None,~,None,~,None,~,None,~,None,~
179,Mareep,Level Up,Flaaffy,None,~,None,~,None,~,None,~,None,~,None,~
180,Flaaffy,Level Up,Ampharos,None,~,None,~,None,~,None,~,None,~,None,~
181,Ampharos,None,~,None,~,None,~,None,~,None,~,None,~,None,~
182,Bellossom,None,~,None,~,None,~,None,~,None,~,None,~,None,~
183,Marill,Level Up,Azumarill,None,~,None,~,None,~,None,~,None,~,None,~
184,Azumarill,None,~,None,~,None,~,None,~,None,~,None,~,None,~
185,Sudowoodo,None,~,None,~,None,~,None,~,None,~,None,~,None,~
186,Politoed,None,~,None,~,None,~,None,~,None,~,None,~,None,~
187,Hoppip,Level Up,Skiploom,None,~,None,~,None,~,None,~,None,~,None,~
188,Skiploom,Level Up,Jumpluff,None,~,None,~,None,~,None,~,None,~,None,~
189,Jumpluff,None,~,None,~,None,~,None,~,None,~,None,~,None,~
190,Aipom,Attack Known,Ambipom,None,~,None,~,None,~,None,~,None,~,None,~
191,Sunkern,Use Item,Sunflora,None,~,None,~,None,~,None,~,None,~,None,~
192,Sunflora,None,~,None,~,None,~,None,~,None,~,None,~,None,~
193,Yanma,Attack Known,Yanmega,None,~,None,~,None,~,None,~,None,~,None,~
194,Wooper,Level Up,Quagsire,None,~,None,~,None,~,None,~,None,~,None,~
195,Quagsire,None,~,None,~,None,~,None,~,None,~,None,~,None,~
196,Espeon,None,~,None,~,None,~,None,~,None,~,None,~,None,~
197,Umbreon,None,~,None,~,None,~,None,~,None,~,None,~,None,~
198,Murkrow,Use Item,Honchkrow,None,~,None,~,None,~,None,~,None,~,None,~
199,Slowking,None,~,None,~,None,~,None,~,None,~,None,~,None,~
200,Misdreavus,Use Item,Mismagius,None,~,None,~,None,~,None,~,None,~,None,~
201,Unown,None,~,None,~,None,~,None,~,None,~,None,~,None,~
202,Wobbuffet,None,~,None,~,None,~,None,~,None,~,None,~,None,~
203,Girafarig,None,~,None,~,None,~,None,~,None,~,None,~,None,~
204,Pineco,Level Up,Forretress,None,~,None,~,None,~,None,~,None,~,None,~
205,Forretress,None,~,None,~,None,~,None,~,None,~,None,~,None,~
206,Dunsparce,None,~,None,~,None,~,None,~,None,~,None,~,None,~
207,Gligar,Use Item (Night),Gliscor,None,~,None,~,None,~,None,~,None,~,None,~
208,Steelix,None,~,None,~,None,~,None,~,None,~,None,~,None,~
209,Snubbull,Level Up,Granbull,None,~,None,~,None,~,None,~,None,~,None,~
210,Granbull,None,~,None,~,None,~,None,~,None,~,None,~,None,~
211,Qwilfish,None,~,None,~,None,~,None,~,None,~,None,~,None,~
212,Scizor,None,~,None,~,None,~,None,~,None,~,None,~,None,~
213,Shuckle,None,~,None,~,None,~,None,~,None,~,None,~,None,~
